"Tanggal","Jenis","Kategori","Dompet","Nominal (Rp)","Catatan","Kurs USD saat transaksi"
"2026-04-20","Pengeluaran","Makanan","BSI","16500","sarapan",""
"2026-04-20","Pengeluaran","Bensin","BSI","15000","bensin motor",""
"2026-04-21","Pengeluaran","Makanan","BSI","17000","makan siang",""
"2026-04-22","Pengeluaran","Makanan","BSI","12500","makan siang",""
"2026-04-23","Pengeluaran","Makanan","BSI","14000","nasi bungkus",""
"2026-04-23","Pengeluaran","Bensin","BSI","10000","BBM",""
"2026-04-24","Pengeluaran","Makanan","BSI","18500","sarapan",""
"2026-04-25","Pengeluaran","Makanan","Gopay","19000","sarapan",""
"2026-04-26","Pengeluaran","Makanan","BSI","18500","nasi warteg",""
"2026-04-27","Pengeluaran","Makanan","BSI","23500","sarapan",""
"2026-04-27","Pengeluaran","Bensin","BSI","10000","bensin motor",""
"2026-04-28","Pengeluaran","Makanan","BSI","15500","sarapan",""
"2026-04-29","Pengeluaran","Makanan","BSI","14500","nasi bungkus",""
"2026-04-30","Pemasukan","Gaji","Gopay","700000","gaji bulan ini","17673.108984"
"2026-04-30","Pemasukan","Gaji","BSI","2800000","gaji bulan ini","17673.108984"
"2026-04-30","Pengeluaran","Makanan","BSI","18000","nasi bungkus",""
"2026-04-30","Pengeluaran","Bensin","BSI","10000","pom bensin",""
"2026-05-01","Pengeluaran","Makanan","Gopay","19000","nasi warteg",""
"2026-05-02","Pengeluaran","Makanan","BSI","17500","nasi warteg",""
"2026-05-03","Pengeluaran","Makanan","Gopay","18500","makan siang",""
"2026-05-04","Pengeluaran","Makanan","Gopay","21000","makan siang",""
"2026-05-04","Pengeluaran","Bensin","BSI","15000","BBM",""
"2026-05-05","Pengeluaran","Makanan","BSI","17500","mie rebus",""
"2026-05-05","Pengeluaran","Tagihan","BSI","150000","bayar kos bulan ini",""
"2026-05-06","Pengeluaran","Makanan","BSI","14500","sarapan",""
"2026-05-07","Pengeluaran","Makanan","BSI","18500","makan siang",""
"2026-05-07","Pengeluaran","Bensin","BSI","20000","bensin motor",""
"2026-05-08","Pengeluaran","Makanan","BSI","19000","mie rebus",""
"2026-05-09","Pengeluaran","Makanan","BSI","17500","nasi bungkus",""
"2026-05-10","Pengeluaran","Makanan","BSI","19000","mie rebus",""
"2026-05-11","Pengeluaran","Makanan","BSI","16500","-",""
"2026-05-11","Pengeluaran","Bensin","BSI","10000","isi bensin",""
"2026-05-12","Pengeluaran","Makanan","BSI","20000","mie rebus",""
"2026-05-13","Pengeluaran","Makanan","BSI","17000","makan siang",""
"2026-05-14","Pengeluaran","Makanan","BSI","19500","nasi bungkus",""
"2026-05-14","Pengeluaran","Bensin","BSI","10000","bensin motor",""
"2026-05-15","Pengeluaran","Makanan","BSI","19000","-",""
"2026-05-16","Pengeluaran","Makanan","Gopay","21500","-",""
"2026-05-17","Pengeluaran","Makanan","BSI","18000","nasi warteg",""
"2026-05-18","Pengeluaran","Makanan","BSI","17500","nasi bungkus",""
"2026-05-18","Pengeluaran","Bensin","BSI","10000","BBM",""
"2026-05-19","Pengeluaran","Makanan","Gopay","19500","sarapan",""
"2026-05-20","Pengeluaran","Makanan","Gopay","14500","-",""
"2026-05-21","Pengeluaran","Makanan","BSI","13000","mie rebus",""
"2026-05-21","Pengeluaran","Bensin","BSI","15000","bensin motor",""
"2026-05-22","Pengeluaran","Makanan","Gopay","18500","-",""
"2026-05-23","Pengeluaran","Makanan","Gopay","16000","mie rebus",""
"2026-05-24","Pengeluaran","Makanan","BSI","15500","sarapan",""
"2026-05-25","Pengeluaran","Makanan","BSI","17500","sarapan",""
"2026-05-25","Pengeluaran","Bensin","BSI","15000","pom bensin",""
"2026-05-26","Pengeluaran","Makanan","BSI","15000","makan siang",""
"2026-05-27","Pengeluaran","Makanan","Gopay","14000","nasi warteg",""
"2026-05-28","Pengeluaran","Makanan","Gopay","19000","-",""
"2026-05-28","Pengeluaran","Bensin","BSI","10000","BBM",""
"2026-05-29","Pengeluaran","Makanan","BSI","19000","-",""
"2026-05-30","Pemasukan","Gaji","Gopay","700000","gaji bulan ini","17673.108984"
"2026-05-30","Pemasukan","Gaji","BSI","2800000","gaji bulan ini","17673.108984"
"2026-05-30","Pengeluaran","Makanan","BSI","16500","sarapan",""
