"Tanggal","Jenis","Kategori","Dompet","Nominal (Rp)","Catatan","Kurs USD saat transaksi"
"2026-04-20","Pemasukan","allowance","Gopay","750000","allowance bulanan","17673.108984"
"2026-04-20","Pemasukan","allowance","BSI","250000","allowance bulanan","17673.108984"
"2026-04-20","Pengeluaran","Makanan","Gopay","29500","alfamart",""
"2026-04-20","Pengeluaran","Gojek","Gopay","5500","kampus",""
"2026-04-21","Pengeluaran","Makanan","BSI","29000","makan siang",""
"2026-04-21","Pengeluaran","Gojek","Gopay","5500","kampus",""
"2026-04-21","Pengeluaran","kebutuhan pokok m","BSI","31000","toiletries",""
"2026-04-21","Pengeluaran","Barang Online","BSI","45000","beli kebutuhan",""
"2026-04-22","Pengeluaran","Makanan","Gopay","7500","makan malam",""
"2026-04-22","Pengeluaran","Makanan","Gopay","12000","-",""
"2026-04-22","Pengeluaran","Makanan","Gopay","6500","sarapan",""
"2026-04-22","Pengeluaran","Gojek","Gopay","5500","ke kos",""
"2026-04-22","Pengeluaran","kebutuhan pokok m","Gopay","40000","beli beli",""
"2026-04-23","Pengeluaran","Makanan","Gopay","22500","jajan",""
"2026-04-23","Pengeluaran","Makanan","Gopay","9000","mie ayam",""
"2026-04-23","Pengeluaran","Gojek","Gopay","5500","-",""
"2026-04-24","Pengeluaran","Makanan","Gopay","23000","mie ayam",""
"2026-04-24","Pengeluaran","Gojek","Gopay","5500","kampus",""
"2026-04-25","Pengeluaran","Makanan","BSI","20000","nasi padang",""
"2026-04-25","Pengeluaran","Makanan","Gopay","6500","nasi padang",""
"2026-04-25","Pengeluaran","kebutuhan pokok m","BSI","24000","indmaret",""
"2026-04-26","Pengeluaran","Makanan","Gopay","34000","indomaret",""
"2026-04-27","Pengeluaran","Makanan","BSI","30000","warteg",""
"2026-04-27","Pengeluaran","Makanan","BSI","7000","-",""
"2026-04-27","Pengeluaran","Gojek","Gopay","5500","mipa",""
"2026-04-27","Pengeluaran","Barang Online","BSI","35000","beli kebutuhan",""
"2026-04-28","Pengeluaran","Makanan","Gopay","12500","warteg",""
"2026-04-28","Pengeluaran","Makanan","BSI","6000","snack",""
"2026-04-28","Pengeluaran","Makanan","Gopay","8500","bakso",""
"2026-04-28","Pengeluaran","Gojek","Gopay","5500","ke kos",""
"2026-04-29","Pengeluaran","Makanan","BSI","26000","snack",""
"2026-04-29","Pengeluaran","Gojek","Gopay","5500","ke kos",""
"2026-04-29","Pengeluaran","kebutuhan pokok m","BSI","15000","alfamart",""
"2026-04-30","Pengeluaran","Makanan","Gopay","31500","kopi",""
"2026-04-30","Pengeluaran","Gojek","Gopay","5500","jemput",""
"2026-04-30","Pengeluaran","kebutuhan pokok m","BSI","31000","indmaret",""
"2026-05-01","Pengeluaran","Makanan","BSI","25000","-",""
"2026-05-01","Pengeluaran","Gojek","Gopay","5500","mipa",""
"2026-05-02","Pengeluaran","Makanan","BSI","29000","alfamart",""
"2026-05-02","Pengeluaran","kebutuhan pokok m","BSI","31000","toiletries",""
"2026-05-03","Pengeluaran","Makanan","BSI","15000","bakso",""
"2026-05-03","Pengeluaran","Makanan","Gopay","12000","nasi padang",""
"2026-05-03","Pengeluaran","Makanan","BSI","6000","snack",""
"2026-05-04","Pengeluaran","Makanan","BSI","8500","-",""
"2026-05-04","Pengeluaran","Makanan","Gopay","27500","makan siang",""
"2026-05-04","Pengeluaran","Gojek","Gopay","5500","pulang",""
"2026-05-05","Pengeluaran","Makanan","BSI","26500","sarapan",""
"2026-05-05","Pengeluaran","Gojek","Gopay","5500","jemput",""
"2026-05-05","Pengeluaran","Barang Online","BSI","50000","beli kebutuhan",""
"2026-05-06","Pengeluaran","Makanan","BSI","12000","-",""
"2026-05-06","Pengeluaran","Makanan","BSI","17000","warteg",""
"2026-05-06","Pengeluaran","Gojek","Gopay","5500","-",""
"2026-05-07","Pengeluaran","Makanan","BSI","19500","kopi",""
"2026-05-07","Pengeluaran","Makanan","Gopay","20500","warteg",""
"2026-05-07","Pengeluaran","Gojek","Gopay","5500","kampus",""
"2026-05-08","Pengeluaran","Makanan","BSI","30500","warteg",""
"2026-05-08","Pengeluaran","Gojek","Gopay","5500","kampus",""
"2026-05-09","Pemasukan","allowance","Gopay","375000","pemasukan tak terduga","17673.108984"
"2026-05-09","Pemasukan","allowance","BSI","125000","pemasukan tak terduga","17673.108984"
"2026-05-09","Pengeluaran","Makanan","Gopay","33500","indomaret",""
"2026-05-10","Pemasukan","allowance","Gopay","375000","allowance tambahan","17673.108984"
"2026-05-10","Pemasukan","allowance","BSI","125000","allowance tambahan","17673.108984"
"2026-05-10","Pengeluaran","Makanan","BSI","13000","-",""
"2026-05-10","Pengeluaran","Makanan","BSI","15500","sarapan",""
"2026-05-10","Pengeluaran","kebutuhan pokok m","Gopay","24100","kebutuhan bulanan",""
"2026-05-11","Pengeluaran","Makanan","Gopay","6500","alfamart",""
"2026-05-11","Pengeluaran","Makanan","Gopay","13500","sarapan",""
"2026-05-11","Pengeluaran","Gojek","Gopay","5500","pulang",""
"2026-05-11","Pengeluaran","kebutuhan pokok m","Gopay","31000","kebutuhan bulanan",""
"2026-05-11","Pengeluaran","Barang Online","BSI","50000","beli kebutuhan",""
"2026-05-12","Pengeluaran","Makanan","BSI","8000","snack",""
"2026-05-12","Pengeluaran","Makanan","BSI","6000","sarapan",""
"2026-05-12","Pengeluaran","Makanan","BSI","17500","warteg",""
"2026-05-12","Pengeluaran","Gojek","Gopay","5500","pulang",""
"2026-05-13","Pengeluaran","Makanan","Gopay","6000","jajan",""
"2026-05-13","Pengeluaran","Makanan","Gopay","7500","-",""
"2026-05-13","Pengeluaran","Makanan","BSI","15000","mie ayam",""
"2026-05-13","Pengeluaran","Gojek","Gopay","5500","ke kos",""
"2026-05-14","Pengeluaran","Makanan","Gopay","11000","makan siang",""
"2026-05-14","Pengeluaran","Makanan","BSI","20500","snack",""
"2026-05-14","Pengeluaran","Gojek","Gopay","5500","kampus",""
"2026-05-14","Pengeluaran","Barang Online","BSI","50000","beli kebutuhan",""
"2026-05-15","Pengeluaran","Makanan","BSI","23000","makan malam",""
"2026-05-15","Pengeluaran","Gojek","Gopay","5500","kampus",""
"2026-05-16","Pengeluaran","Makanan","BSI","9000","bakso",""
"2026-05-16","Pengeluaran","Makanan","Gopay","14500","indomaret",""
"2026-05-16","Pengeluaran","Makanan","BSI","6500","snack",""
"2026-05-17","Pengeluaran","Makanan","Gopay","15500","jajan",""
"2026-05-17","Pengeluaran","Makanan","Gopay","17000","indomaret",""
"2026-05-17","Pengeluaran","kebutuhan pokok m","BSI","24000","indmaret",""
"2026-05-17","Pengeluaran","Barang Online","BSI","21000","-",""
"2026-05-18","Pengeluaran","Makanan","Gopay","24000","sarapan",""
"2026-05-18","Pengeluaran","Gojek","Gopay","5500","pulang",""
"2026-05-18","Pengeluaran","Barang Online","BSI","30000","-",""
"2026-05-19","Pengeluaran","Makanan","Gopay","23000","indomaret",""
"2026-05-19","Pengeluaran","Makanan","Gopay","5500","makan malam",""
"2026-05-19","Pengeluaran","Gojek","Gopay","5500","mipa",""
"2026-05-19","Pengeluaran","kebutuhan pokok m","BSI","15000","alfamart",""
"2026-05-20","Pemasukan","allowance","Gopay","750000","allowance bulanan","17673.108984"
"2026-05-20","Pemasukan","allowance","BSI","250000","allowance bulanan","17673.108984"
"2026-05-20","Pengeluaran","Makanan","BSI","23500","mie ayam",""
"2026-05-20","Pengeluaran","Gojek","Gopay","5500","jemput",""
"2026-05-21","Pengeluaran","Makanan","BSI","6500","makan siang",""
"2026-05-21","Pengeluaran","Makanan","Gopay","12000","-",""
"2026-05-21","Pengeluaran","Makanan","Gopay","6500","mie ayam",""
"2026-05-21","Pengeluaran","Gojek","Gopay","5500","pulang",""
"2026-05-22","Pengeluaran","Makanan","BSI","29500","makan malam",""
"2026-05-22","Pengeluaran","Gojek","Gopay","5500","jemput",""
"2026-05-22","Pengeluaran","kebutuhan pokok m","BSI","24000","alfamart",""
"2026-05-23","Pengeluaran","Makanan","Gopay","30500","-",""
"2026-05-23","Pengeluaran","Barang Online","BSI","35000","beli kebutuhan",""
"2026-05-24","Pengeluaran","Makanan","BSI","18500","alfamart",""
"2026-05-24","Pengeluaran","Makanan","Gopay","8500","warteg",""
"2026-05-25","Pengeluaran","Makanan","Gopay","12000","nasi padang",""
"2026-05-25","Pengeluaran","Makanan","BSI","5000","jajan",""
"2026-05-25","Pengeluaran","Makanan","BSI","6500","alfamart",""
"2026-05-25","Pengeluaran","Gojek","Gopay","5500","pulang",""
